Tag	p.value	HR	Low 95%CI	High 95%CI
SMO	0.164	1.124	0.954	1.324
SLC8A1	0.445	1.094	0.869	1.376
NPTX2	0.376	1.073	0.918	1.254
PHETA2	0.954	1.008	0.763	1.332
PHYHD1	0.1	1.155	0.973	1.372
PLBD2	0.039	1.423	1.018	1.988
COLEC12	0.074	1.177	0.984	1.408
PARD3B	0.782	1.039	0.795	1.357
TUB	0.19	1.141	0.937	1.388
PIP5K1C	0.863	0.975	0.731	1.301
SELE	0.878	1.013	0.863	1.188
FAM107A	0.663	1.042	0.866	1.254
JUN	0.102	1.208	0.963	1.517
FGD1	0.511	1.076	0.865	1.339
IL33	0.623	1.032	0.911	1.169
MAOB	0.107	1.095	0.981	1.223
ZNF829	0.488	1.125	0.807	1.568
MKX	0.662	1.04	0.872	1.24
BAG2	0.146	1.122	0.961	1.311
GAS6	0.941	0.993	0.815	1.208
DBN1	0.426	1.085	0.888	1.326
TSPYL5	0.792	0.982	0.855	1.127
PARD6G	0.544	1.08	0.842	1.386
ALDH1A3	0.101	1.154	0.972	1.37
EVA1C	0.429	1.105	0.863	1.414
ZCCHC24	0.237	1.097	0.941	1.28
ENPEP	0.038	1.272	1.014	1.596
ZBTB47	0.781	1.031	0.833	1.276
RUNX1T1	0.289	1.124	0.905	1.395
GLI1	0.192	1.136	0.938	1.375
IL1R1	0.439	1.083	0.884	1.327
LZTS2	0.965	0.994	0.758	1.303
RAPGEF3	0.61	0.917	0.656	1.281
CPE	0.04	1.158	1.007	1.333
TTLL7	0.764	1.028	0.858	1.232
TCEAL2	0.164	1.082	0.968	1.209
KLF7	0.057	1.243	0.994	1.556
CREB3L2	0.145	1.199	0.939	1.532
PRRT1	0.186	1.192	0.919	1.548
ARL15	0.465	0.885	0.637	1.229
ESAM	0.235	1.173	0.902	1.525
YPEL3	0.211	1.223	0.892	1.677
TBX2	0.664	1.052	0.838	1.319
SASH1	0.467	1.102	0.849	1.43
ETNK2	0.225	1.104	0.941	1.296
CCDC9B	0.148	1.127	0.959	1.325
OSR1	0.327	1.121	0.893	1.407
FHL5	0.133	1.184	0.95	1.477
SPON2	0.417	1.079	0.898	1.296
INPP5A	0.379	1.129	0.862	1.479
TBC1D1	0.748	0.959	0.742	1.239
ARL4C	0.557	1.056	0.881	1.264
PDE10A	0.948	0.993	0.792	1.244
LDB2	0.078	1.25	0.975	1.601
SHISA2	0.566	1.047	0.895	1.225
ISM1	0.052	1.145	0.999	1.313
NCALD	0.516	1.084	0.849	1.385
MB21D2	0.618	1.062	0.839	1.343
LGALS1	0.304	1.102	0.916	1.325
CRISPLD1	0.768	1.025	0.871	1.206
KLF12	0.927	0.991	0.817	1.202
NUDT11	0.095	1.224	0.965	1.552
C1RL	0.494	1.106	0.828	1.478
CNTLN	0.812	1.039	0.758	1.424
FAM110D	0.901	1.015	0.806	1.278
GREM1	0.31	1.055	0.951	1.171
WWTR1	0.107	1.164	0.968	1.4
HHIP	0.132	1.16	0.956	1.408
PTP4A3	0.865	1.017	0.839	1.233
STARD13	0.703	1.046	0.829	1.321
MMP19	0.824	1.023	0.839	1.247
MYOCD	0.374	1.06	0.932	1.205
SLIT2	0.065	1.164	0.99	1.368
MEOX1	0.958	0.995	0.812	1.219
ID4	0.435	1.068	0.906	1.258
WNT9A	0.222	1.103	0.942	1.29
CCDC3	0.475	1.085	0.868	1.355
TSPAN18	0.3	1.085	0.93	1.265
NAV2	0.288	1.106	0.918	1.332
RAI2	0.714	1.031	0.878	1.21
TRPC6	0.538	1.104	0.806	1.512
ZNF135	0.891	1.023	0.741	1.411
FAM172A	0.39	1.152	0.835	1.589
FLT1	0.094	1.253	0.963	1.631
RAI14	0.106	1.212	0.96	1.53
MCTP1	0.913	1.015	0.774	1.331
HTRA3	0.06	1.162	0.994	1.358
BBOF1	0.596	1.098	0.776	1.555
TMCC2	0.161	1.254	0.914	1.72
NRP2	0.054	1.175	0.997	1.384
CDC42EP3	0.204	1.114	0.943	1.316
GJA5	0.864	0.98	0.779	1.233
HEYL	0.057	1.178	0.995	1.394
SGCD	0.322	1.083	0.925	1.268
NT5C3A	0.428	0.89	0.666	1.188
EZH1	0.301	1.186	0.858	1.639
GPC6	0.417	1.072	0.906	1.269
TBCEL	0.114	1.213	0.955	1.542
CXCL1	0.266	0.945	0.854	1.044
HSPA12B	0.205	1.164	0.921	1.471
TSHZ1	0.465	1.095	0.859	1.395
GINM1	0.656	1.094	0.737	1.622
YPEL1	0.8	0.963	0.718	1.29
SEMA3C	0.066	1.153	0.991	1.342
EFHD1	0.26	1.112	0.924	1.338
HACD4	0.389	1.109	0.876	1.405
SELENOW	0.623	1.076	0.804	1.441
BEND5	0.282	1.122	0.91	1.384
PTPN21	0.334	1.153	0.864	1.538
HIF3A	0.2	1.078	0.961	1.208
ADAMTS7	0.233	1.143	0.918	1.425
FNDC5	0.236	1.128	0.924	1.378
ARMCX2	0.059	1.185	0.994	1.413
CREB5	0.993	0.999	0.761	1.311
FGFR1	0.256	1.095	0.936	1.282
CCDC69	0.509	1.053	0.903	1.228
TFPI2	0.029	1.163	1.016	1.333
PRDM6	0.023	1.512	1.058	2.16
RYR2	0.153	1.163	0.946	1.43
CCDC80	0.266	1.066	0.953	1.192
LRRN2	0.668	1.045	0.854	1.28
PTGES3L	0.556	1.08	0.837	1.393
PDK4	0.029	1.123	1.012	1.246
MEX3B	0.423	1.114	0.855	1.452
DPYSL2	0.482	1.082	0.869	1.345
DEPP1	0.029	1.195	1.018	1.403
IGFBP5	0.459	1.057	0.913	1.224
TMEM45B	0.415	0.947	0.83	1.08
RGS11	0.435	1.089	0.879	1.349
SPON1	0.404	1.048	0.938	1.171
WTIP	0.439	1.118	0.843	1.484
TMEM150C	0.804	0.971	0.77	1.225
PAPLN	0.358	1.086	0.911	1.295
SNCA	0.244	1.135	0.917	1.405
WASF3	0.43	1.061	0.916	1.228
PRICKLE2	0.285	1.095	0.927	1.295
ARMC9	0.208	1.195	0.906	1.578
SPEG	0.621	1.036	0.901	1.191
ISL2	0.508	1.081	0.858	1.362
RIPOR1	0.443	1.116	0.844	1.476
RAB7B	0.259	1.158	0.898	1.493
ACKR3	0.02	1.263	1.038	1.538
UNC5C	0.484	1.106	0.834	1.466
MAGI2	0.058	1.3	0.991	1.704
TSPYL2	0.935	1.01	0.793	1.286
TGFB2	0.056	1.19	0.995	1.422
GNPDA2	0.229	1.214	0.885	1.666
DNM3	0.088	1.294	0.963	1.739
ZNF704	0.364	1.083	0.912	1.287
KIAA1324L	0.099	1.154	0.973	1.369
RTL8A	0.489	1.072	0.88	1.307
C1QL1	0.123	1.134	0.967	1.33
LDOC1	0.218	1.092	0.949	1.257
ZNF25	0.74	1.046	0.8	1.368
RIN3	0.437	1.098	0.867	1.39
VASH1	0.364	0.885	0.679	1.153
TAC3	0.146	1.128	0.959	1.327
TXNDC17	0.472	1.126	0.814	1.558
ALDH1L2	0.538	1.068	0.866	1.318
PLAGL1	0.172	1.134	0.947	1.358
FREM1	0.066	1.194	0.988	1.443
NRXN2	0.234	1.122	0.928	1.357
TMEM255B	0.926	1.014	0.757	1.359
PPP2R5B	0.893	1.023	0.732	1.429
CHN1	0.868	0.98	0.776	1.239
ANGPTL2	0.34	1.076	0.925	1.251
BMERB1	0.146	1.143	0.955	1.368
RNF11	0.286	1.225	0.843	1.78
AGT	0.268	1.07	0.949	1.207
CLEC3B	0.662	0.962	0.81	1.143
KCTD17	0.963	0.995	0.8	1.238
TTC23	0.441	1.104	0.859	1.419
SULF1	0.588	1.034	0.915	1.169
STARD9	0.368	1.117	0.878	1.421
FZD1	0.098	1.201	0.967	1.491
RGS4	0.046	1.176	1.003	1.379
GPR68	0.946	0.993	0.801	1.229
MCAM	0.215	1.121	0.936	1.344
TCEAL7	0.08	1.176	0.981	1.411
FNDC1	0.209	1.07	0.963	1.191
ADAMTS4	0.417	1.086	0.889	1.328
RBMS3	0.089	1.19	0.974	1.456
COL1A2	0.267	1.082	0.941	1.244
EFCC1	0.899	0.984	0.774	1.253
HOXD8	0.423	1.142	0.825	1.58
NOVA1	0.321	1.117	0.898	1.39
CNTNAP1	0.141	1.15	0.954	1.387
ID3	0.79	1.034	0.807	1.326
COL5A1	0.235	1.096	0.942	1.276
FAXC	0.635	1.056	0.842	1.326
PRICKLE1	0.002	1.443	1.147	1.815
STON1	0.198	1.109	0.947	1.299
LYVE1	0.63	1.048	0.867	1.265
BHMT2	0.444	1.082	0.885	1.323
C16orf89	0.969	0.997	0.878	1.133
HYAL2	0.388	1.149	0.839	1.574
NDST1	0.354	1.127	0.875	1.453
GPR146	0.129	1.32	0.922	1.89
RBFOX2	0.22	1.194	0.899	1.585
CORIN	0.203	1.195	0.908	1.573
PDGFC	0.071	1.243	0.981	1.574
ROR1	0.104	1.172	0.968	1.419
GJA4	0.875	1.018	0.815	1.271
PPP1R3G	0.212	1.195	0.903	1.582
SPRY1	0.02	1.416	1.056	1.899
CTSO	0.281	1.133	0.903	1.422
DPT	0.827	1.013	0.899	1.142
GAB1	0.15	1.214	0.932	1.581
PLXDC1	0.177	1.194	0.923	1.544
TIMP4	0.185	1.122	0.947	1.33
LTBP2	0.135	1.128	0.963	1.321
GNG7	0.972	1.003	0.825	1.221
CDH13	0.312	1.141	0.883	1.475
CD99L2	0.726	1.046	0.813	1.346
MAP7D1	0.675	1.059	0.811	1.382
CXCL3	0.176	0.924	0.825	1.036
EDIL3	0.035	1.239	1.015	1.512
SNCG	0.003	1.224	1.07	1.4
TMEM252	0.808	1.019	0.874	1.189
HOPX	0.367	1.069	0.924	1.238
ADPRH	0.141	1.21	0.939	1.56
CRIM1	0.074	1.256	0.978	1.612
PLPPR2	0.201	1.172	0.919	1.496
ITM2C	0.375	1.084	0.907	1.295
KLF9	0.138	1.148	0.957	1.378
ZNF345	0.73	1.054	0.783	1.417
ST6GALNAC5	0.343	1.092	0.911	1.308
MAP3K20	0.433	1.074	0.898	1.284
NTRK2	0.369	1.079	0.914	1.275
TGFBR2	0.272	1.134	0.906	1.42
TMEM240	0.077	1.335	0.969	1.839
NR3C2	0.594	0.948	0.78	1.153
LAYN	0.154	1.136	0.953	1.352
ADGRB2	0.656	0.95	0.759	1.189
PRKAG2	0.478	1.113	0.828	1.496
SMIM10L2B	0.029	1.368	1.033	1.811
FBXL7	0.077	1.194	0.981	1.454
ATP5MC3	0.468	1.135	0.807	1.596
WDR86	0.456	1.135	0.814	1.581
SYNM	0.437	1.033	0.952	1.12
PINK1	0.473	1.102	0.845	1.439
TCEAL1	0.888	1.019	0.788	1.316
ANK2	0.332	1.09	0.916	1.299
NANOS1	0.504	1.094	0.84	1.426
PCDH18	0.218	1.143	0.924	1.414
TSPAN9	0.433	1.094	0.874	1.368
VASH2	0.776	1.048	0.759	1.447
CHD3	0.513	1.094	0.836	1.43
HTR2A	0.383	1.136	0.853	1.513
INHBA	0.201	1.106	0.948	1.289
SLC6A16	0.924	0.984	0.706	1.371
MECP2	0.538	0.894	0.627	1.276
SCRG1	0.174	1.095	0.961	1.249
CYP27A1	0.613	1.042	0.889	1.22
EHD3	0.222	1.145	0.921	1.424
BEND6	0.048	1.423	1.004	2.018
AOPEP	0.587	0.927	0.707	1.217
TSPAN2	0.452	1.056	0.916	1.219
GPR176	0.178	1.157	0.936	1.429
C22orf39	0.525	1.119	0.791	1.584
TP53INP2	0.42	1.089	0.885	1.341
SNAPC2	0.81	1.042	0.743	1.461
NGFR	0.136	1.09	0.973	1.221
NOTCH4	0.237	1.169	0.903	1.513
MAPRE3	0.459	1.083	0.877	1.338
PDZRN3	0.382	1.067	0.923	1.233
SVEP1	0.042	1.185	1.006	1.396
ELL2	0.089	1.254	0.966	1.628
KCNIP3	0.614	1.065	0.833	1.363
CC2D2A	0.011	1.388	1.077	1.789
SHROOM4	0.958	0.994	0.786	1.257
PCDHGA12	0.199	1.193	0.911	1.562
PLEKHH2	0.08	1.202	0.978	1.476
MAN1C1	0.209	1.149	0.925	1.427
CERCAM	0.221	1.113	0.937	1.323
ADARB1	0.091	1.246	0.965	1.609
MFGE8	0.277	1.129	0.907	1.403
ARHGAP23	0.333	1.097	0.91	1.322
SCN4B	0.27	1.128	0.911	1.398
FZD2	0.115	1.143	0.968	1.351
BST1	0.15	1.179	0.943	1.474
SPIRE1	0.019	1.27	1.04	1.552
PALMD	0.33	1.119	0.892	1.405
NEGR1	0.232	1.111	0.935	1.32
PDE4A	0.756	1.04	0.81	1.336
VEGFD	0.536	1.081	0.844	1.385
PRKAA2	0.149	1.112	0.963	1.283
WHRN	0.241	0.885	0.721	1.086
NNAT	0.943	1.006	0.861	1.175
DIXDC1	0.742	1.03	0.866	1.225
CERS4	0.375	1.069	0.923	1.237
COL4A6	0.069	1.172	0.988	1.391
SFN	0.908	1.007	0.891	1.139
STBD1	0.233	1.24	0.871	1.767
APOLD1	0.154	1.154	0.948	1.404
KIAA0513	0.585	1.065	0.85	1.335
CD109	0.006	1.233	1.061	1.434
DPYSL4	0.158	1.185	0.936	1.5
DSEL	0.135	1.201	0.945	1.526
MICU3	0.19	1.194	0.916	1.557
KDF1	0.573	0.947	0.783	1.145
CHL1	0.132	1.176	0.953	1.451
GAREM2	0.662	1.052	0.837	1.322
VCAN	0.03	1.196	1.018	1.405
IRS1	0.027	1.244	1.025	1.509
PRKG1	0.242	1.123	0.925	1.364
SGCA	0.297	1.077	0.937	1.237
SOX17	0.52	1.078	0.858	1.354
CAP2	0.118	1.118	0.972	1.287
SLC22A17	0.046	1.182	1.003	1.393
GPRASP2	0.074	1.255	0.978	1.612
ARMCX5__GPRASP2	0.074	1.255	0.978	1.612
PMP22	0.503	1.067	0.883	1.29
FJX1	0.03	1.312	1.027	1.675
THBD	0.113	1.17	0.964	1.42
ARHGEF17	0.121	1.178	0.958	1.449
NME4	0.393	1.091	0.893	1.332
CAMK2G	0.659	0.941	0.719	1.232
P2RY1	0.188	1.171	0.926	1.48
ZNF512B	0.121	1.157	0.962	1.391
SUSD2	0.657	1.042	0.869	1.25
A2M	0.189	1.12	0.946	1.327
CYTH3	0.128	1.217	0.945	1.568
HSPG2	0.387	1.078	0.91	1.277
ARHGAP24	0.774	1.035	0.819	1.307
FHL3	0.183	1.174	0.927	1.488
ZNF593	0.846	1.036	0.727	1.476
OLFML2B	0.066	1.148	0.991	1.33
PCDHB8	0.356	1.072	0.925	1.242
RFLNB	0.783	1.034	0.816	1.311
RAB3IL1	0.125	1.178	0.956	1.453
FSCN1	0.521	1.05	0.905	1.217
HOXA3	0.743	1.031	0.859	1.238
SHISAL1	0.515	1.049	0.908	1.211
TENM3	0.063	1.166	0.991	1.371
FOSB	0.212	1.074	0.96	1.201
SORCS2	0.172	1.145	0.943	1.39
SHC2	0.192	1.133	0.939	1.366
KL	0.105	1.212	0.961	1.53
ZNF331	0.092	1.195	0.971	1.471
ITGA9	0.241	1.104	0.935	1.304
BEX3	0.03	1.188	1.017	1.388
GBGT1	0.779	0.97	0.786	1.197
TAFA5	0.295	1.103	0.919	1.324
ATP5MD	0.588	1.114	0.753	1.649
RAMP3	0.506	1.076	0.867	1.334
CAV2	0.005	1.247	1.067	1.457
HOXB2	0.504	0.942	0.792	1.121
S1PR3	0.68	1.037	0.872	1.235
CALCOCO1	0.371	1.134	0.861	1.495
COL10A1	0.267	1.056	0.959	1.164
KCNN3	0.262	1.133	0.911	1.409
THRB	0.088	1.155	0.978	1.364
GPR173	0.125	1.219	0.946	1.569
HLX	0.213	1.219	0.893	1.663
WLS	0.193	1.145	0.934	1.404
KLHL5	0.298	1.118	0.907	1.378
AGTR1	0.165	1.119	0.955	1.313
LONRF2	0.212	1.144	0.926	1.412
RGS5	0.12	1.156	0.963	1.388
PKD2	0.174	1.16	0.936	1.438
AR	0.425	1.108	0.862	1.424
GALNT17	0.189	1.177	0.923	1.5
MAL2	0.483	0.945	0.807	1.107
MFAP2	0.071	1.137	0.989	1.308
RET	0.756	1.026	0.872	1.207
LAMB1	0.086	1.193	0.975	1.46
ARSJ	0.632	1.054	0.851	1.304
GLIS3	0.307	1.096	0.919	1.306
P3H1	0.862	1.025	0.774	1.358
ANGPTL1	0.188	1.08	0.963	1.212
MEIS2	0.228	1.155	0.914	1.458
ENOX1	0.153	1.164	0.945	1.432
RRAS	0.133	1.189	0.949	1.49
RIPOR3	0.571	0.921	0.692	1.225
ZNF358	0.364	1.126	0.871	1.456
DYNC2H1	0.133	1.234	0.938	1.624
ARHGAP10	0.096	1.218	0.966	1.535
DOK5	0.208	1.173	0.915	1.503
FAXDC2	0.41	1.077	0.903	1.285
ZBTB46	0.756	0.956	0.719	1.271
DEGS1	0.719	1.059	0.775	1.446
ENG	0.311	1.135	0.888	1.452
ANKDD1A	0.41	1.16	0.815	1.649
EFEMP1	0.068	1.123	0.991	1.273
SEMA7A	0.488	1.066	0.89	1.276
HIP1	0.984	1.002	0.786	1.278
TSPAN7	0.496	1.057	0.901	1.241
GYG1	0.216	1.191	0.903	1.571
PRXL2C	0.501	1.124	0.799	1.581
ARHGAP20	0.075	1.327	0.972	1.812
C3orf70	0.637	1.035	0.898	1.192
ZSCAN18	0.476	1.07	0.889	1.288
TMEM45A	0.032	1.248	1.019	1.527
ZNF649	0.554	1.069	0.857	1.333
DIRAS1	0.26	1.112	0.925	1.336
PDLIM3	0.146	1.094	0.969	1.234
RIMKLB	0.935	0.993	0.829	1.189
DSTN	0.744	1.042	0.816	1.33
ANKH	0.501	1.069	0.881	1.297
KLF15	0.457	1.063	0.905	1.248
GADD45B	0.014	1.286	1.052	1.573
WSCD1	0.131	1.223	0.942	1.588
SLMAP	0.601	1.062	0.847	1.333
GRAMD1A	0.446	1.098	0.863	1.396
MMP17	0.26	1.132	0.912	1.404
ZBTB4	0.877	1.021	0.788	1.323
PRR16	0.952	1.007	0.796	1.275
ZNF423	0.256	1.116	0.923	1.348
CNTN1	0.014	1.198	1.037	1.383
LOX	0.013	1.232	1.045	1.453
FEZ2	0.211	1.249	0.882	1.769
SEMA6B	0.37	1.105	0.889	1.373
PCDHAC2	0.049	1.27	1.001	1.611
ITGA5	0.533	1.053	0.895	1.24
ADAMTSL1	0.492	1.099	0.839	1.441
DCN	0.399	1.065	0.92	1.232
SCMH1	0.69	0.939	0.688	1.28
C5orf46	0.019	1.271	1.04	1.552
C20orf194	0.15	1.166	0.946	1.437
SOX18	0.605	1.059	0.852	1.316
APLNR	0.539	1.055	0.89	1.25
LIMCH1	0.813	0.974	0.781	1.214
RGS2	0.033	1.188	1.014	1.392
VLDLR	0.206	1.148	0.927	1.421
ITGB5	0.037	1.311	1.017	1.689
LIFR	0.272	1.105	0.925	1.321
ZC3H12A	0.6	0.956	0.808	1.131
CEBPB	0.189	1.167	0.927	1.468
ERG	0.109	1.227	0.956	1.576
NACC2	0.993	1.001	0.804	1.246
MAPK10	0.354	1.132	0.871	1.473
IL17RD	0.934	1.007	0.852	1.191
PARVA	0.167	1.175	0.935	1.477
SCD5	0.933	1.008	0.842	1.206
KLHL13	0.094	1.185	0.971	1.445
HSPA12A	0.458	1.082	0.879	1.331
GNA14	0.324	1.103	0.908	1.34
C1QTNF3	0.247	1.12	0.924	1.358
FYCO1	0.37	1.103	0.89	1.368
CCR10	0.547	1.098	0.811	1.486
PODN	0.12	1.105	0.974	1.254
CRLF1	0.099	1.124	0.978	1.291
MGP	0.15	1.085	0.971	1.211
RUNDC3B	0.549	1.103	0.801	1.518
CAV1	0.03	1.167	1.015	1.341
AMIGO2	0.065	1.162	0.99	1.363
DKK2	0.642	1.05	0.854	1.292
GNAZ	0.73	0.971	0.823	1.146
PLTP	0.024	1.196	1.024	1.398
KLHL3	0.363	1.193	0.816	1.744
AMOTL1	0.186	1.121	0.946	1.329
PCDHB16	0.354	1.094	0.904	1.324
CADM3	0.295	1.092	0.926	1.286
FZD4	0.208	1.166	0.918	1.481
PKD1	0.676	0.954	0.764	1.191
PALLD	0.599	1.043	0.893	1.218
BCL6	0.342	1.123	0.884	1.426
C1S	0.673	1.037	0.877	1.226
PIP4P2	0.024	1.256	1.031	1.531
SGIP1	0.435	1.126	0.836	1.518
HOXA5	0.58	1.053	0.877	1.264
ACVR1	0.026	1.482	1.048	2.095
SLC46A1	0.887	1.021	0.769	1.355
C1orf21	0.936	1.01	0.798	1.277
PLEKHO1	0.996	1.001	0.826	1.213
OSTM1	0.434	1.12	0.843	1.489
PLOD2	0.011	1.308	1.062	1.611
FAM13B	0.841	0.973	0.744	1.272
RNF217	0.074	1.25	0.978	1.597
RTN4	0.042	1.39	1.012	1.911
RAB36	0.982	0.998	0.834	1.194
LRRN4CL	0.572	1.056	0.875	1.273
GPR162	0.484	1.128	0.805	1.582
RNLS	0.965	0.994	0.752	1.313
ZNF366	0.676	1.065	0.792	1.433
FAM110B	0.181	1.134	0.943	1.365
RASSF9	0.233	1.138	0.92	1.406
AUTS2	0.826	1.021	0.85	1.226
CTF1	0.073	1.139	0.988	1.313
SERPINH1	0.318	1.12	0.896	1.401
VCL	0.391	1.1	0.884	1.369
TPSD1	0.366	1.063	0.931	1.212
MXI1	0.124	1.213	0.949	1.551
ACKR1	0.553	1.035	0.924	1.159
GJC1	0.386	1.083	0.904	1.297
MGST2	0.838	1.033	0.759	1.405
TCTN1	0.221	1.198	0.897	1.601
PIM1	0.002	1.466	1.15	1.87
ARHGEF40	0.326	1.116	0.897	1.388
ALKAL1	0.576	1.049	0.888	1.239
MFAP4	0.484	1.039	0.933	1.157
TMEM43	0.092	1.284	0.96	1.718
NUPR1	0.64	1.041	0.879	1.234
ATP5MC1	0.302	0.844	0.611	1.165
KRTCAP3	0.436	0.939	0.8	1.101
GUCY1B1	0.3	1.1	0.919	1.316
HLF	0.278	1.094	0.93	1.287
SNED1	0.925	1.011	0.806	1.269
MEF2D	0.575	1.093	0.8	1.494
CCDC102B	0.533	1.115	0.792	1.569
ZNF439	0.408	0.883	0.659	1.185
REEP2	0.343	1.08	0.921	1.267
GAS7	0.837	1.019	0.855	1.214
ELOVL4	0.135	1.187	0.948	1.487
TGFB3	0.164	1.135	0.95	1.356
BRSK1	0.617	1.063	0.837	1.351
CAND2	0.261	1.112	0.924	1.339
PTBP2	0.76	1.05	0.766	1.44
MYCT1	0.307	1.143	0.884	1.477
TPBGL	0.837	1.027	0.797	1.323
MEIS1	0.956	0.994	0.803	1.23
BHLHE22	0.633	1.066	0.821	1.384
PCDHB10	0.356	1.12	0.88	1.426
ARL4D	0.115	1.134	0.97	1.327
GPR4	0.113	1.239	0.95	1.615
BEX1	0.184	1.061	0.972	1.158
SYNGR1	0.172	1.124	0.95	1.33
OLFM1	0.115	0.86	0.713	1.037
ABHD17C	0.813	1.023	0.848	1.234
IGSF21	0.141	1.198	0.942	1.523
NCAM1	0.489	1.066	0.889	1.278
EDNRA	0.093	1.171	0.974	1.409
ULK2	0.87	1.023	0.782	1.337
LTBP4	0.118	1.172	0.961	1.43
PAPPA	0.279	1.12	0.913	1.374
PITPNM3	0.374	0.922	0.771	1.102
MTSS2	0.627	1.048	0.868	1.264
TLE2	0.855	1.016	0.855	1.208
TSPAN4	0.27	1.152	0.896	1.481
NSMCE3	0.753	1.057	0.748	1.493
COX6C	0.548	0.905	0.655	1.252
LARP6	0.046	1.217	1.004	1.476
TXN	0.499	1.098	0.838	1.438
CDK14	0.027	1.217	1.022	1.449
RGS7BP	0.122	1.216	0.949	1.559
PCDHB5	0.015	1.188	1.034	1.365
VKORC1	0.202	1.238	0.892	1.717
HSD17B14	0.337	1.085	0.918	1.282
STXBP2	0.76	0.956	0.718	1.274
ST3GAL2	0.67	1.053	0.83	1.337
TNFAIP8L1	0.591	0.925	0.694	1.231
NRTN	0.894	1.012	0.853	1.2
STK33	0.585	1.078	0.824	1.41
FRY	0.216	1.175	0.91	1.518
TCF15	0.427	1.125	0.842	1.504
ADAM33	0.349	1.072	0.927	1.239
PLPP1	0.11	1.206	0.958	1.519
SPHK1	0.879	1.015	0.838	1.23
FGD5	0.795	1.029	0.831	1.273
PROS1	0.029	1.213	1.02	1.442
TMEM204	0.523	1.084	0.847	1.387
MRPL23	0.763	1.05	0.766	1.437
MEF2C	0.49	1.075	0.875	1.322
SLC45A1	0.061	1.301	0.988	1.712
CKB	0.198	1.076	0.962	1.203
COLQ	0.507	1.135	0.78	1.651
UCHL3	0.821	1.038	0.751	1.436
THBS3	0.268	1.153	0.897	1.483
CPNE8	0.001	1.53	1.201	1.949
SIGLEC6	0.113	1.212	0.955	1.537
NID2	0.062	1.195	0.991	1.441
ADHFE1	0.641	1.062	0.824	1.369
LRP12	0.154	1.229	0.925	1.632
ITGA8	0.264	1.091	0.936	1.272
PGBD1	0.589	1.072	0.834	1.378
RHOB	0.301	1.101	0.918	1.32
EIF4E3	0.42	0.901	0.698	1.161
STUM	0.644	1.043	0.872	1.248
TTC28	0.253	1.134	0.914	1.406
COX8A	0.911	0.98	0.689	1.395
MAP3K12	0.255	1.202	0.876	1.65
MTMR9	0.167	1.219	0.921	1.614
METTL24	0.449	1.061	0.91	1.238
SH3PXD2A	0.952	1.007	0.795	1.276
PTPN13	0.214	1.128	0.933	1.363
MARCKS	0.007	1.584	1.135	2.211
TGFBI	0.511	1.05	0.908	1.214
MYADM	0.229	1.13	0.926	1.38
CSGALNACT1	0.697	0.958	0.771	1.19
RGMA	0.501	1.041	0.927	1.168
LRP3	0.683	1.033	0.883	1.21
TGFBR3	0.999	1	0.845	1.184
MTCL1	0.94	1.007	0.831	1.221
NLGN4Y	0.389	1.102	0.884	1.373
CALD1	0.171	1.092	0.963	1.238
ST3GAL3	0.741	1.048	0.795	1.38
PHYHIPL	0.832	0.98	0.816	1.178
ZNF736	0.805	0.974	0.787	1.205
ZNF665	0.382	0.83	0.545	1.262
ADAMTS2	0.271	1.081	0.941	1.243
TXNIP	0.099	1.17	0.971	1.41
SOCS2	0.224	1.169	0.909	1.505
DLL4	0.231	1.161	0.909	1.482
FMO1	0.204	1.141	0.931	1.4
NAP1L3	0.221	1.147	0.921	1.429
MEF2A	0.076	1.264	0.976	1.639
DAAM2	0.236	1.107	0.936	1.31
WNT5A	0.772	1.027	0.859	1.227
TRPC1	0.203	1.169	0.919	1.486
VANGL2	0.809	0.984	0.867	1.118
PHKG1	0.304	1.176	0.863	1.603
RRAGB	0.25	1.211	0.874	1.678
TOR1AIP1	0.571	1.099	0.793	1.523
ABCC9	0.046	1.178	1.003	1.383
NCAM2	0.07	1.267	0.98	1.638
RASL12	0.821	1.022	0.844	1.239
PCP4	0.591	0.965	0.846	1.1
DEXI	0.099	1.419	0.937	2.149
MICAL2	0.736	1.039	0.832	1.298
FKBP7	0.117	1.241	0.947	1.627
BMPR1A	0.975	0.995	0.747	1.327
CLEC11A	0.654	1.041	0.873	1.241
CX3CR1	0.123	1.175	0.957	1.443
MEDAG	0.458	1.057	0.913	1.225
ST6GAL2	0.221	1.179	0.906	1.533
GSDME	0.162	1.149	0.945	1.397
GPR153	0.782	1.023	0.869	1.205
SESN3	0.766	1.026	0.864	1.219
CCDC149	0.61	1.082	0.799	1.464
MAP7D3	0.142	1.186	0.945	1.489
CDH2	0.023	1.213	1.026	1.432
RILPL1	0.393	1.148	0.837	1.574
CCM2L	0.587	1.081	0.816	1.432
SHANK3	0.39	1.106	0.879	1.391
MXRA8	0.143	1.113	0.964	1.284
EID2B	0.916	1.022	0.683	1.528
OLFM2	0.381	1.07	0.92	1.243
CCN4	0.752	1.027	0.871	1.212
ECEL1	0.748	0.975	0.833	1.14
CNN3	0.134	1.177	0.951	1.457
ARMCX4	0.346	1.171	0.843	1.627
PTPRS	0.971	1.003	0.861	1.167
SOX7	0.232	1.123	0.928	1.358
BAG3	0.813	1.029	0.813	1.302
EHD2	0.081	1.163	0.982	1.377
